SKU,Order,Delivery Date,Description
15668519,6513688,2014-09-18,DAILY BREAD_Bread  Sandwich
15668519,6513550,2014-09-18,DAILY BREAD_Bread  Sandwich
15668519,6597410,2014-08-18,DAILY BREAD_Bread  Sandwich
15668519,6572076,2014-08-31,DAILY BREAD_Bread  Sandwich
15668519,7931229,2014-05-18,DAILY BREAD_Bread  Sandwich
15668519,6811583,2014-06-28,DAILY BREAD_Bread  Sandwich
15668519,6697233,2014-07-22,DAILY BREAD_Bread  Sandwich
15668519,7976086,2014-05-10,DAILY BREAD_Bread  Sandwich
15668519,8019831,2014-05-02,DAILY BREAD_Bread  Sandwich
15668519,6629357,2014-08-08,DAILY BREAD_Bread  Sandwich
15668519,7886539,2014-06-15,DAILY BREAD_Bread  Sandwich
15668519,6459459,2014-09-21,DAILY BREAD_Bread  Sandwich
15668519,6506198,2014-09-16,DAILY BREAD_Bread  Sandwich
15668519,7991200,2014-05-15,DAILY BREAD_Bread  Sandwich
15668519,8023656,2014-05-03,DAILY BREAD_Bread  Sandwich
15668519,8053864,2014-04-19,DAILY BREAD_Bread  Sandwich
15668519,6538628,2014-09-08,DAILY BREAD_Bread  Sandwich
15668519,6566533,2014-08-29,DAILY BREAD_Bread  Sandwich
15668519,6530155,2014-09-06,DAILY BREAD_Bread  Sandwich
15668519,8012414,2014-04-29,DAILY BREAD_Bread  Sandwich
15668519,8024925,2014-05-04,DAILY BREAD_Bread  Sandwich
15668519,6642391,2014-08-12,DAILY BREAD_Bread  Sandwich
15668519,6467284,2014-09-23,DAILY BREAD_Bread  Sandwich
15668519,6731239,2014-07-14,DAILY BREAD_Bread  Sandwich
15668519,6622313,2014-08-06,DAILY BREAD_Bread  Sandwich
15668519,7921117,2014-06-05,DAILY BREAD_Bread  Sandwich
15668519,6629536,2014-08-08,DAILY BREAD_Bread  Sandwich
15668519,7949196,2014-05-24,DAILY BREAD_Bread  Sandwich
15668519,7987980,2014-05-14,DAILY BREAD_Bread  Sandwich
15668519,6546487,2014-09-10,DAILY BREAD_Bread  Sandwich
15668519,8009350,2014-04-28,DAILY BREAD_Bread  Sandwich
15668519,6758062,2014-07-02,DAILY BREAD_Bread  Sandwich
15668519,6508139,2014-09-16,DAILY BREAD_Bread  Sandwich
15668519,8057914,2014-04-21,DAILY BREAD_Bread  Sandwich
15668519,6653491,2014-07-29,DAILY BREAD_Bread  Sandwich
15668519,8058132,2014-04-21,DAILY BREAD_Bread  Sandwich
15668519,8091390,2014-04-07,DAILY BREAD_Bread  Sandwich
15668519,6424788,2014-09-30,DAILY BREAD_Bread  Sandwich
15668519,6799821,2014-06-24,DAILY BREAD_Bread  Sandwich
15668519,6424875,2014-09-30,DAILY BREAD_Bread  Sandwich
15668519,6707634,2014-07-25,DAILY BREAD_Bread  Sandwich
15668519,8076623,2014-04-02,DAILY BREAD_Bread  Sandwich
15668519,6811496,2014-06-28,DAILY BREAD_Bread  Sandwich
15668519,6586411,2014-08-16,DAILY BREAD_Bread  Sandwich
15668519,6730257,2014-07-13,DAILY BREAD_Bread  Sandwich
15668519,6481637,2014-09-27,DAILY BREAD_Bread  Sandwich
15668519,6754219,2014-06-30,DAILY BREAD_Bread  Sandwich
15668519,7937703,2014-05-20,DAILY BREAD_Bread  Sandwich
15668519,6435155,2014-10-03,DAILY BREAD_Bread  Sandwich
15668519,6709564,2014-07-26,DAILY BREAD_Bread  Sandwich
15668519,6550948,2014-09-11,DAILY BREAD_Bread  Sandwich
15668519,6493485,2014-09-13,DAILY BREAD_Bread  Sandwich
15668519,7949529,2014-05-24,DAILY BREAD_Bread  Sandwich
15668519,6708789,2014-07-25,DAILY BREAD_Bread  Sandwich
15668519,7864909,2014-06-08,DAILY BREAD_Bread  Sandwich
15668519,6482514,2014-09-28,DAILY BREAD_Bread  Sandwich
15668519,6782457,2014-07-09,DAILY BREAD_Bread  Sandwich
15668519,6599722,2014-08-19,DAILY BREAD_Bread  Sandwich
15668519,8003455,2014-04-26,DAILY BREAD_Bread  Sandwich
15668519,8036984,2014-04-12,DAILY BREAD_Bread  Sandwich
15668519,6562716,2014-08-27,DAILY BREAD_Bread  Sandwich
15668519,6435248,2014-10-03,DAILY BREAD_Bread  Sandwich
15668519,6653971,2014-07-28,DAILY BREAD_Bread  Sandwich
15668519,6788984,2014-06-21,DAILY BREAD_Bread  Sandwich
15668519,8078034,2014-04-02,DAILY BREAD_Bread  Sandwich
15668519,8055958,2014-04-20,DAILY BREAD_Bread  Sandwich
15668519,8011434,2014-04-28,DAILY BREAD_Bread  Sandwich
15668519,6721802,2014-07-10,DAILY BREAD_Bread  Sandwich
15668519,6782641,2014-07-08,DAILY BREAD_Bread  Sandwich
15668519,7943200,2014-05-22,DAILY BREAD_Bread  Sandwich
15668519,6703120,2014-07-24,DAILY BREAD_Bread  Sandwich
15668519,6767475,2014-07-04,DAILY BREAD_Bread  Sandwich
15668519,6756447,2014-07-01,DAILY BREAD_Bread  Sandwich
15668519,6799173,2014-06-24,DAILY BREAD_Bread  Sandwich
15668519,6461206,2014-09-21,DAILY BREAD_Bread  Sandwich
15668519,6603111,2014-08-21,DAILY BREAD_Bread  Sandwich
15668519,6704306,2014-07-24,DAILY BREAD_Bread  Sandwich
15668519,6771801,2014-07-05,DAILY BREAD_Bread  Sandwich
15668519,6729508,2014-07-12,DAILY BREAD_Bread  Sandwich
15668519,6490750,2014-09-12,DAILY BREAD_Bread  Sandwich
15668519,6717632,2014-07-09,DAILY BREAD_Bread  Sandwich
15668519,6535976,2014-09-07,DAILY BREAD_Bread  Sandwich
15668519,7938374,2014-05-20,DAILY BREAD_Bread  Sandwich
15668519,6600975,2014-08-19,DAILY BREAD_Bread  Sandwich
15668519,6550701,2014-09-10,DAILY BREAD_Bread  Sandwich
15668519,7897461,2014-05-29,DAILY BREAD_Bread  Sandwich
15668519,6625361,2014-08-07,DAILY BREAD_Bread  Sandwich
15668519,6687451,2014-07-19,DAILY BREAD_Bread  Sandwich
15668519,6542197,2014-09-08,DAILY BREAD_Bread  Sandwich
15668519,7886521,2014-06-15,DAILY BREAD_Bread  Sandwich
15668519,6639486,2014-08-11,DAILY BREAD_Bread  Sandwich
15668519,7893716,2014-06-17,DAILY BREAD_Bread  Sandwich
15668519,6567049,2014-08-30,DAILY BREAD_Bread  Sandwich
15668519,6602043,2014-08-20,DAILY BREAD_Bread  Sandwich
15668519,6581411,2014-09-02,DAILY BREAD_Bread  Sandwich
15668519,6430197,2014-10-01,DAILY BREAD_Bread  Sandwich
15668519,6727377,2014-07-12,DAILY BREAD_Bread  Sandwich
15668519,7868252,2014-06-09,DAILY BREAD_Bread  Sandwich
15668519,7886564,2014-06-15,DAILY BREAD_Bread  Sandwich
15668519,8010228,2014-04-29,DAILY BREAD_Bread  Sandwich
15668519,6698274,2014-07-22,DAILY BREAD_Bread  Sandwich
